AgeGroup,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.42,0.36,0.08,0.02,0.1,0.17,0.3,0.27,0.24,0.05,0.09,0.05,0.16,0.06,0.07
05-09,0.39,1.31,0.54,0.05,0.02,0.11,0.3,0.44,0.39,0.12,0.05,0.07,0.08,0.12,0.07
10-14,0.09,0.56,1.85,0.3,0.02,0.02,0.07,0.34,0.51,0.31,0.09,0.02,0.08,0.05,0.07
15-19,0.02,0.06,0.33,2.23,0.35,0.07,0.07,0.07,0.23,0.52,0.35,0.09,0.04,0.04,0.06
20-24,0.11,0.02,0.02,0.35,1.69,0.26,0.19,0.11,0.08,0.23,0.46,0.21,0.15,0.11,0.08
25-29,0.22,0.13,0.03,0.07,0.27,0.76,0.38,0.18,0.11,0.13,0.24,0.46,0.21,0.07,0.09
30-34,0.44,0.41,0.09,0.06,0.22,0.43,0.68,0.38,0.18,0.15,0.21,0.27,0.36,0.2,0.19
35-39,0.44,0.67,0.5,0.1,0.14,0.23,0.42,0.8,0.4,0.19,0.18,0.16,0.24,0.22,0.1
40-44,0.46,0.7,0.89,0.37,0.13,0.16,0.24,0.48,0.8,0.45,0.28,0.19,0.2,0.19,0.14
45-49,0.09,0.21,0.52,0.82,0.35,0.19,0.2,0.22,0.45,0.59,0.45,0.23,0.1,0.13,0.18
50-54,0.14,0.07,0.13,0.46,0.6,0.3,0.23,0.18,0.24,0.38,0.78,0.34,0.31,0.14,0.17
55-59,0.08,0.11,0.03,0.12,0.26,0.55,0.29,0.16,0.15,0.18,0.32,0.6,0.46,0.13,0.15
60-64,0.25,0.12,0.12,0.05,0.19,0.26,0.4,0.24,0.16,0.08,0.31,0.48,0.64,0.35,0.17
65-69,0.12,0.23,0.1,0.07,0.14,0.12,0.28,0.28,0.2,0.14,0.18,0.18,0.44,0.82,0.36
70+,0.36,0.32,0.33,0.23,0.31,0.34,0.65,0.31,0.36,0.47,0.53,0.49,0.53,0.87,0.94