S_NAME,district_id,Year,pop,vac_num,household,n_sec
七目郷,35,2010/2011,731,385,311,0.00000000
七目郷,35,2011/2012,725,379,312,0.00000000
七目郷,35,2012/2013,714,382,314,0.00000000
七目郷,35,2013/2014,703,394,315,0.01694915
三日ノ浦郷,19,2010/2011,343,177,145,0
三日ノ浦郷,19,2011/2012,324,169,142,0
三日ノ浦郷,19,2012/2013,322,172,140,0
三日ノ浦郷,19,2013/2014,316,181,141,0
丸尾郷,23,2010/2011,731,461,309,0.07317073
丸尾郷,23,2011/2012,710,440,304,0.07142857
丸尾郷,23,2012/2013,704,429,303,0.02127660
丸尾郷,23,2013/2014,690,423,302,0.04000000
今里郷,15,2010/2011,542,308,268,0.1666667
今里郷,15,2011/2012,542,316,264,0.00000000
今里郷,15,2012/2013,547,317,270,0.00000000
今里郷,15,2013/2014,538,331,273,0.00000000
似首郷,24,2010/2011,242,136,119,0
似首郷,24,2011/2012,236,124,120,0
似首郷,24,2012/2013,228,109,116,0
似首郷,24,2013/2014,223,121,115,0
友住郷,32,2010/2011,139,82,74,0
友住郷,32,2011/2012,133,72,71,0
友住郷,32,2012/2013,125,72,70,0
友住郷,32,2013/2014,120,71,68,0
太田郷,34,2010/2011,435,273,210,0.4285714
太田郷,34,2011/2012,419,256,206,0.00000000
太田郷,34,2012/2013,402,244,201,0.00000000
太田郷,34,2013/2014,396,234,201,0.1000000
奈摩郷,17,2010/2011,1621,897,666,0.6545455
奈摩郷,17,2011/2012,1605,865,665,1.0823529
奈摩郷,17,2012/2013,1593,866,661,0.5384615
奈摩郷,17,2013/2014,1535,877,658,0.4202899
奈良尾郷,38,2010/2011,1752,1024,877,0.7567568
奈良尾郷,38,2011/2012,1679,945,857,0.4166667
奈良尾郷,38,2012/2013,1621,913,840,0.2527473
奈良尾郷,38,2013/2014,1549,947,826,0.1212121
宿ノ浦郷,3,2010/2011,715,359,314,0.29411765
宿ノ浦郷,3,2011/2012,691,308,308,0.03125000
宿ノ浦郷,3,2012/2013,672,309,308,0.02325581
宿ノ浦郷,3,2013/2014,667,329,307,0.00000000
小串郷,25,2010/2011,556,376,255,0.08333333
小串郷,25,2011/2012,544,349,261,0.02857143
小串郷,25,2012/2013,526,342,255,0.00000000
小串郷,25,2013/2014,498,345,249,0.03846154
小河原郷,30,2010/2011,207,111,99,0
小河原郷,30,2011/2012,210,117,98,0
小河原郷,30,2012/2013,200,108,100,0
小河原郷,30,2013/2014,196,111,101,0
岩瀬浦郷,39,2010/2011,892,543,486,0.05405405
岩瀬浦郷,39,2011/2012,873,512,477,0.05882353
岩瀬浦郷,39,2012/2013,837,471,478,0.08333333
岩瀬浦郷,39,2013/2014,805,513,462,0.00000000
日島郷,6,2010/2011,52,31,36,NA
日島郷,6,2011/2012,56,28,37,NA
日島郷,6,2012/2013,55,34,36,NA
日島郷,6,2013/2014,52,30,34,0
曽根郷,26,2010/2011,628,368,273,0.25
曽根郷,26,2011/2012,596,339,267,0.00
曽根郷,26,2012/2013,590,341,265,0.00
曽根郷,26,2013/2014,574,344,264,0.00
有川郷,29,2010/2011,3222,1916,1451,3.730000
有川郷,29,2011/2012,3187,1831,1456,2.679012
有川郷,29,2012/2013,3134,1832,1444,3.580110
有川郷,29,2013/2014,3091,1895,1424,2.571429
有福郷,7,2010/2011,141,91,71,0
有福郷,7,2011/2012,139,78,71,NA
有福郷,7,2012/2013,135,82,68,0
有福郷,7,2013/2014,126,81,64,0
東神ノ浦郷,37,2010/2011,262,138,128,0
東神ノ浦郷,37,2011/2012,256,118,125,0
東神ノ浦郷,37,2012/2013,239,123,124,0
東神ノ浦郷,37,2013/2014,229,125,122,0
桐古里郷,2,2010/2011,298,173,155,0
桐古里郷,2,2011/2012,293,164,151,0
桐古里郷,2,2012/2013,288,164,145,0
桐古里郷,2,2013/2014,275,173,141,0
榊ノ浦郷,10,2010/2011,230,127,106,NA
榊ノ浦郷,10,2011/2012,224,114,108,0
榊ノ浦郷,10,2012/2013,218,116,107,0
榊ノ浦郷,10,2013/2014,201,118,103,0
榎津郷,22,2010/2011,443,284,209,0.04761905
榎津郷,22,2011/2012,450,268,209,0.00000000
榎津郷,22,2012/2013,444,268,206,0.00000000
榎津郷,22,2013/2014,443,268,209,0.00000000
江ノ浜郷,33,2010/2011,152,112,81,0
江ノ浜郷,33,2011/2012,137,106,74,0
江ノ浜郷,33,2012/2013,131,101,71,0
江ノ浜郷,33,2013/2014,131,94,73,0
津和崎郷,28,2010/2011,296,177,147,0
津和崎郷,28,2011/2012,284,154,142,0
津和崎郷,28,2012/2013,276,139,139,0
津和崎郷,28,2013/2014,255,145,135,0
浦桑郷,21,2010/2011,918,590,439,0.12000000
浦桑郷,21,2011/2012,931,585,445,0.10256410
浦桑郷,21,2012/2013,893,537,426,0.05555556
浦桑郷,21,2013/2014,871,536,428,0.02564103
漁生浦郷,8,2010/2011,35,25,13,NA
漁生浦郷,8,2011/2012,34,25,13,0
漁生浦郷,8,2012/2013,38,27,15,0
漁生浦郷,8,2013/2014,34,26,13,0
相河郷,11,2010/2011,276,140,136,0
相河郷,11,2011/2012,272,144,137,0
相河郷,11,2012/2013,281,137,137,0
相河郷,11,2013/2014,278,152,136,0
立串郷,27,2010/2011,402,236,217,0
立串郷,27,2011/2012,392,218,211,0
立串郷,27,2012/2013,375,202,204,0
立串郷,27,2013/2014,365,212,199,0
続浜ノ浦郷,16,2010/2011,238,138,114,0
続浜ノ浦郷,16,2011/2012,226,128,111,0
続浜ノ浦郷,16,2012/2013,217,126,110,0
続浜ノ浦郷,16,2013/2014,218,128,110,0
網上郷,13,2010/2011,449,265,185,0
網上郷,13,2011/2012,445,265,187,0
網上郷,13,2012/2013,436,257,185,0
網上郷,13,2013/2014,423,247,181,0
船崎郷,18,2010/2011,175,103,83,0
船崎郷,18,2011/2012,173,95,81,0
船崎郷,18,2012/2013,168,85,80,0
船崎郷,18,2013/2014,156,81,78,0
若松郷,1,2010/2011,1116,594,536,0.22857143
若松郷,1,2011/2012,1087,575,530,0.25454545
若松郷,1,2012/2013,1038,568,516,0.09090909
若松郷,1,2013/2014,1007,553,515,0.10344828
荒川郷,4,2010/2011,440,179,199,0
荒川郷,4,2011/2012,423,155,195,0
荒川郷,4,2012/2013,429,171,195,0
荒川郷,4,2013/2014,409,176,191,0
西神ノ浦郷,5,2010/2011,110,53,61,NA
西神ノ浦郷,5,2011/2012,107,47,60,0
西神ノ浦郷,5,2012/2013,106,46,60,NA
西神ノ浦郷,5,2013/2014,99,48,57,NA
赤尾郷,31,2010/2011,186,105,102,0
赤尾郷,31,2011/2012,183,97,101,0
赤尾郷,31,2012/2013,171,95,100,0
赤尾郷,31,2013/2014,166,87,94,0
道土井郷,20,2010/2011,208,120,87,0
道土井郷,20,2011/2012,200,116,86,0
道土井郷,20,2012/2013,193,101,86,0
道土井郷,20,2013/2014,200,101,91,0
間伏郷,9,2010/2011,336,176,157,0
間伏郷,9,2011/2012,325,179,151,0
間伏郷,9,2012/2013,314,174,149,0
間伏郷,9,2013/2014,304,163,145,0
青方郷,12,2010/2011,2476,1295,1048,2.477273
青方郷,12,2011/2012,2419,1253,1041,1.983240
青方郷,12,2012/2013,2403,1283,1034,1.914062
青方郷,12,2013/2014,2383,1352,1024,1.436364
飯ノ瀬戸郷,14,2010/2011,109,44,59,0
飯ノ瀬戸郷,14,2011/2012,108,38,59,0
飯ノ瀬戸郷,14,2012/2013,108,33,58,0
飯ノ瀬戸郷,14,2013/2014,106,45,56,NA
﻿鯛ノ浦阿瀬津郷,36,2010/2011,1027,600,455,0.18181818
﻿鯛ノ浦阿瀬津郷,36,2011/2012,1004,579,450,0.07017544
﻿鯛ノ浦阿瀬津郷,36,2012/2013,992,549,447,0.07500000
﻿鯛ノ浦阿瀬津郷,36,2013/2014,970,565,442,0.06521739